이엠텍 XENON 지포스 RTX 2070 STORM X Dual D6 8GB,이엠텍,RTX2070,12,1410,1620,2304,3.0x16,6,14000,8,256,DVI / HDMI / DP / 최대 모니터 4개 / 최대 175W / 정격파워 550W 이상 / 전원부: 6+2페이즈 / 2개 팬 / 235mm / LED 라이트,610500
ZOTAC AMP 지포스 GTX1060 D5 3GB,ZOTAC,GTX1060,16,1582,1797,1152,3.0x16,5,8000,3,192,DVI / HDMI / DP / 최대 모니터 4개 / 최대 120W / 정격파워 400W 이상 / 전원부: 5페이즈 / 2개 팬 / 206mm,223790
이엠텍 XENON 지포스 RTX 2060 STORM X Dual OC D6 6GB,이엠텍,RTX2060,12,1365,1830,1920,3.0x16,6,14000,6,192,DVI / HDMI / DP / 최대 모니터 3개 / 최대 190W / 정격파워 500W 이상 / 전원부: 6+2페이즈 / 2개 팬 / 235mm / LED 라이트,463600
MSI 지포스 RTX 2060 벤투스 OC D6 6GB,MSI,RTX2060,12,NA,1710,1920,3.0x16,6,14000,6,192,HDMI / DP / 최대 모니터 4개 / 최대 160W / 정격파워 500W 이상 / 2개 팬 / 226mm / 백플레이트,455400
이엠텍 XENON 지포스 GTX1060 STORM X Dual D5 3GB,이엠텍,GTX1060,16,1506,1708,1152,3.0x16,5,8000,3,192,DVI / HDMI / DP / 최대 모니터 4개 / 최대 120W / 정격파워 400W 이상 / 전원부: 4페이즈 / 2개 팬 / 252mm,242200
ZOTAC GAMING 지포스 RTX 2070 AIR D6 8GB,ZOTAC,RTX2070,12,NA,1620,2304,3.0x16,6,14000,8,256,DVI / HDMI / DP / 최대 모니터 4개 / 최대 175W / 정격파워 550W 이상 / 2개 팬 / 211mm / 백플레이트 / LED 라이트 / SPECTRA,588500
이엠텍 지포스 RTX 2080 Ti BLACK EDITION OC D6 11GB,이엠텍,RTX2080Ti,12,1350,1650,4352,3.0x16,6,14000,11,352,HDMI / DP / USB Type-C / 최대 모니터 4개 / 최대 300W / 정격파워 700W / 전원부: 13+3페이즈 / 3개 팬 / 292mm / 백플레이트 / LED 라이트 / RGB LIGHTING,1525600
이엠텍 HV 지포스 RTX 2080 BLACK MONSTER OC D6 8GB,이엠텍,RTX2080,12,1515,1815,2944,3.0x16,6,14000,8,256,HDMI / DP / USB Type-C / 최대 모니터 4개 / 최대 260W / 정격파워 650W 이상 / 전원부: 12페이즈 / 3개 팬 / 292mm / 백플레이트 / LED 라이트,965900
이엠텍 XENON 지포스 RTX 2070 TURBO JET OC D6 8GB,이엠텍,RTX2070,12,1410,1725,2304,3.0x16,6,14000,8,256,HDMI / DP / USB Type-C / 최대 모니터 3개 / 최대 220W / 정격파워 550W 이상 / 전원부: 8+2페이즈 / 2개 팬 / 292mm / 백플레이트 / LED 라이트 / RGB LIGHTING,706600
이엠텍 XENON 지포스 GTX1060 STORM X Dual D5 6GB,이엠텍,GTX1060,16,1506,1708,1280,3.0x16,5,8000,6,192,DVI / HDMI / DP / 최대 모니터 4개 / 최대 120W / 정격파워 400W 이상 / 전원부: 4페이즈 / 2개 팬 / 250mm,357000
